Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
tFwLiqc5BXbYYMXc4,Superman OG,Concentrate,2017-09-27,2017-09-27,60,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.0,0.14,0.0,0.24,0.0,0.03,0.11,0.11,0.05,0.0,0.31,0.09,0.02,0.02,0.24,0.0,0.0,,2.34,0.01,84.13,0.01,0.01,0.01,0.01,,,0.9,0.01,1.3,
tGnaPxssgCXf6GdxR,Pepper's Ghost City,Concentrate,2016-12-16,2016-12-16,35,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.06,0.05,0.12,0.04,0.0,0.36,0.07,0.0,0.0,0.31,0.0,0.0,,68.8,,,0.39,0.3,,0.42,,,,2.37,0.6,
tJXHzENPpc4kGSHKH,Lemon Goji -LRB,Concentrate,2017-11-07,2017-11-07,,0.0,0.0,,,,0.0,0.09,0.0,0.0,0.0,0.11,0.0,0.24,0.0,1.59,0.07,0.08,0.39,0.09,0.27,0.43,0.49,0.11,1.51,0.05,0.0,,2.22,0.01,86.3,0.01,0.01,0.68,0.01,,,4.19,0.01,0.35,
tKaujtKqfAxm7Ras8,Element CBD Cart,Concentrate,2017-11-15,2017-11-15,2,0.0,0.0,,,,0.0,0.04,0.0,0.0,0.0,0.16,0.0,0.14,0.0,0.63,0.09,0.02,0.05,0.04,0.23,0.21,0.08,0.05,0.1,0.02,0.0,,15.34,0.31,0.0,0.0,0.0,0.0,20.36,,,0.0,1.31,0.88,
tLDyA3xH6nqCrg5SZ,Deathstar,Concentrate,,,16,,,0.0,0.0,,0.0,0.05,0.0,0.03,0.0,0.09,0.0,0.17,0.0,0.02,0.05,0.4,0.22,0.0,0.59,0.31,0.01,0.05,0.73,0.0,0.0,,,,,,,,,,,,,,
tMbgCxmgLmonCK5Bt,Bright Moments - LR,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.19,0.0,0.26,0.1,0.0,0.51,0.65,0.08,0.01,0.76,0.0,0.0,,0.44,0.01,80.68,0.01,0.01,0.15,0.01,,,0.01,0.52,0.01,
tPSmoQbohNZXWJmBB,Pineapple Chunk,Concentrate,2017-05-25,2017-05-30,2,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.57,0.0,4.49,0.18,0.26,0.24,0.13,1.11,0.86,0.94,0.22,0.98,0.05,0.0,31.7,16.8,,,0.2,0.0,1.57,0.0,,,11.51,1.46,0.3,
tPeZFHbkZWBQs3KQB,Blue Dream - LRB,Concentrate,2016-01-26,2016-01-27,,,,0.0,0.0,,0.0,0.01,0.0,0.01,0.0,0.05,0.0,0.02,0.0,0.69,0.05,0.14,0.07,0.07,0.16,0.4,0.15,0.31,0.13,0.06,0.01,,50.3,,,0.05,0.04,,0.03,,,,3.81,0.03,
tS8iJEnkb95FudDrN,Platinum Glue,Concentrate,2017-05-03,2017-05-05,71,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.18,0.02,0.0,0.53,0.05,0.0,0.04,0.17,0.0,0.0,72.1,4.9,,,0.0,0.0,0.5,0.1,,,1.75,0.32,0.02,
tWKHLCf3c7NpkobPD,Master Kush Live Resin,Concentrate,2017-05-25,2017-05-30,2,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.07,0.26,0.17,0.0,0.57,0.2,0.17,0.02,0.99,0.0,0.0,74.2,3.3,,,0.0,0.0,0.0,0.0,,,3.81,0.97,0.0,
tWd4N6kCebc2cpPS6,Lemon OG,Concentrate,2017-11-15,2017-11-15,60,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.04,0.11,0.25,0.19,0.0,0.65,0.76,0.1,0.03,0.59,0.0,0.0,,2.35,0.01,88.68,0.01,0.01,2.27,0.01,,,3.37,0.37,0.01,
tY9H5QdkdDSzLx7pt,Flo,Concentrate,2017-08-18,2017-08-18,2,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.09,0.0,0.25,0.0,0.5,0.07,0.02,0.12,0.03,0.22,0.15,0.11,0.13,0.5,0.0,0.0,,3.0,0.01,53.89,0.01,0.01,0.01,0.01,,,2.5,0.11,0.01,
tZkQtEM4jXkwy25no,Lemon OG,Concentrate,2018-01-19,2018-01-19,2,0.0,0.0,,,,0.07,0.08,0.0,0.0,0.0,0.11,0.0,0.38,0.0,0.34,0.12,0.22,0.23,0.07,0.41,1.62,0.2,0.11,1.07,0.06,0.0,,2.15,0.0,80.68,0.0,0.0,0.78,0.0,,,5.37,0.46,0.08,
taQdGwAkLwGdNLpjz,Perkin CBD,Concentrate,2018-01-19,2018-01-19,2,0.0,0.0,,,,0.08,0.08,0.0,0.0,0.0,0.14,0.0,0.22,0.0,1.68,0.11,0.14,0.35,0.12,0.26,2.55,0.38,0.16,0.87,0.07,0.09,,0.45,0.0,15.74,0.0,0.0,68.38,1.99,,,0.0,0.5,0.03,
taikKFxsAvmx37Xus,Hammer Head,Concentrate,2017-07-11,2017-07-11,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.06,0.0,0.02,0.0,0.48,0.19,0.0,0.0,0.34,0.0,0.0,,1.41,0.01,78.45,0.01,0.01,0.91,0.01,,,2.6,0.01,0.07,
tap8cyrz6yDq2CkDX,Tangilope - LRB,Concentrate,2016-05-31,2016-06-01,,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.11,0.0,0.24,0.0,0.08,0.08,0.17,0.11,0.0,0.34,0.73,0.2,0.05,0.28,0.0,0.0,,62.9,,,0.51,0.29,,0.49,,,,2.44,0.84,
tdS5xBJXFpsX2vzaK,Grape x Scape,Concentrate,2017-04-05,2017-04-06,70,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.02,0.74,0.0,0.24,0.55,0.0,0.23,0.41,0.0,0.0,,66.3,,,0.38,0.28,,0.43,,,,1.79,0.76,
teL3Lbe9vKQEdm7Wc,Gorilla Glue Cured Cart,Concentrate,2017-09-21,2017-09-21,2,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.0,0.07,0.0,0.17,0.0,0.08,0.13,0.23,0.05,0.0,0.79,0.14,0.03,0.05,0.23,0.0,0.0,,3.33,0.01,54.43,0.01,0.01,0.01,0.01,,,1.05,0.01,0.01,
th9XHMXtyYwCkuieX,CBD Mango Haze #4 LR,Concentrate,2018-05-07,2018-05-07,,0.0,0.0,,,,0.0,0.1,0.0,0.05,0.0,0.17,0.0,0.19,0.0,0.26,0.12,0.19,0.2,0.07,0.34,1.16,0.0,0.87,0.79,0.0,0.11,,0.59,0.01,20.43,0.01,0.01,48.0,0.96,,,12.77,0.58,0.01,
tihuoGDWbohLJ7LQ6,Flo Cured Cart,Concentrate,2018-02-09,2018-02-09,2,0.0,0.0,,,,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.1,0.09,0.18,0.17,0.0,0.37,0.24,0.13,0.17,1.0,0.0,0.0,,2.66,0.01,50.16,0.01,0.01,0.01,0.01,,,2.07,0.34,0.02,
tnmg3Azh6z3JxLevN,Lemon Skunk -LRB,Concentrate,2017-11-29,2017-11-29,,0.0,0.0,,,,0.0,0.09,0.0,0.0,0.0,0.12,0.0,0.17,0.0,2.23,0.09,0.08,0.51,0.13,0.19,0.37,0.65,0.1,0.68,0.07,0.0,,1.97,0.01,82.86,0.01,0.01,0.56,0.01,,,7.88,0.6,0.01,
toy3sWDANJ7KM9R7Q,Headband,Concentrate,2015-12-03,2015-12-04,,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.09,0.01,0.13,0.09,0.01,0.28,1.44,0.09,0.0,0.41,0.01,0.0,,59.7,,,0.24,0.2,,0.05,,,,1.08,0.41,
tp9WM9fMMMQxtGs4y,RSO #3,Concentrate,2017-09-16,2017-09-16,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.93,0.01,0.01,0.53,1.12,0.01,5.31,,,0.01,1.83,1.59,
trmBPMJy7WZ4f3yar,Lemon Crippler,Concentrate,2016-07-27,2016-07-28,123,,,0.0,0.0,,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.1,0.0,0.22,0.01,0.22,0.08,0.07,0.36,0.05,0.02,0.02,0.1,0.06,0.01,,70.3,,,0.32,0.27,,0.48,,,,3.85,0.61,
ttNPa37SdTSFALQRt,Agent Orange - LRB,Concentrate,2017-05-04,2017-05-06,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.13,0.0,0.09,0.04,0.23,0.1,0.0,0.61,0.35,0.07,0.02,0.47,0.0,0.0,82.6,1.4,,,0.0,0.0,0.35,0.0,,,2.0,0.31,0.0,
tvNPMACXk8gyLPLHm,Cherry Berry Pie - LR,Concentrate,2016-11-01,2016-11-02,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.11,0.03,0.08,0.6,0.0,0.29,0.69,0.28,0.0,0.55,0.0,0.0,,67.9,,,0.42,0.44,,0.47,,,,6.17,0.86,
tyqRwSgn9MFyn9gLQ,Lemon Skunk (A.S),Concentrate,2017-05-02,2017-05-03,12,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.15,0.0,0.0,0.08,0.31,0.06,0.0,0.63,0.09,0.0,0.05,0.22,0.0,0.0,75.0,3.1,,,0.0,0.0,0.39,0.1,,,1.65,0.78,0.39,
tz9vZ5qwuNuEPaGEb,Extrema - CO2,Concentrate,2016-10-05,2016-10-06,12,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.05,0.0,0.03,0.17,0.5,0.03,0.0,1.14,0.03,0.0,0.0,0.09,0.0,0.0,,59.2,,,1.06,1.07,,3.74,,,,4.36,2.09,
tzFLoRvLMTvGHpSMX,ASO223Wax,Concentrate,2017-02-24,2017-02-28,12,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.1,0.11,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,,75.5,,,0.55,0.61,,1.78,,,,3.09,1.28,
u2LsLQYmgKYmxBtQw,Tangie Ghost Train Haze HTFSE,Concentrate,2017-08-10,2017-08-10,2,0.0,0.0,,,,0.0,0.2,0.0,0.0,0.0,0.43,0.0,0.79,0.0,0.6,0.23,0.0,0.41,0.04,1.49,5.55,0.0,0.56,3.99,0.0,0.0,,7.25,0.01,31.18,0.01,0.28,1.26,0.01,,,4.03,0.01,0.08,
u2iQokyCygdfNJy8J,Northern Lights Live Resin,Concentrate,2018-01-31,2018-01-31,2,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.12,0.0,0.18,0.0,0.1,0.0,0.15,0.23,0.0,0.12,1.62,0.13,0.1,0.41,0.05,0.0,,2.58,0.0,85.25,0.0,0.0,0.0,0.0,,,1.02,0.54,0.0,
u2rvQx8t3TyDQEJ33,Fire Cookies,Concentrate,2017-04-04,2017-04-06,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.07,0.0,0.07,0.08,0.0,0.47,0.32,0.0,0.04,0.77,0.0,0.0,,53.7,,,0.26,0.25,,0.39,,,,2.49,0.38,
u3YsuRLtAj6sD5eYg,MAMBA-041718,Concentrate,2018-04-25,2018-04-25,,0.0,0.0,,,,0.0,0.09,0.0,0.04,0.0,0.0,0.0,0.47,0.0,0.09,0.2,0.55,0.22,0.0,1.2,0.7,0.1,0.0,1.5,0.04,0.0,,48.66,0.01,21.78,0.3,0.18,0.01,3.33,,,0.01,5.36,2.02,
u5jrn4rHDSx86G4df,Con 5/08,Concentrate,2017-05-08,2017-05-10,37,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.8,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,
uBWkF3FHokDJKcBEt,Sunset Sherbert Rosin,Concentrate,2017-01-27,2017-01-28,7,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.1,0.26,0.09,0.0,0.53,1.29,0.0,0.04,0.61,0.0,0.0,,65.5,,,0.47,0.5,,0.57,,,,2.31,0.93,
uCsDsc8qAw3HTAr4N,Sample 18,Concentrate,,,19,,,0.0,0.0,,0.0,0.06,0.0,0.0,0.0,0.2,0.0,0.62,0.0,0.04,0.08,0.34,0.23,0.0,0.79,0.99,0.0,0.14,2.06,0.0,0.0,,,,,,,,,,,,,,
uFDM8QrNpcHyju7Ji,Sample 1,Concentrate,,,19,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.02,0.03,0.34,0.15,0.0,0.61,0.22,0.01,0.11,0.61,0.0,0.0,,,,,,,,,,,,,,
uGweGvxQtckT2Hiip,Pineapple Chunk Craft Cart,Concentrate,2018-03-05,2018-03-05,2,0.0,0.0,,,,0.11,0.06,0.0,0.04,0.0,0.11,0.0,0.31,0.0,2.42,0.06,0.18,0.26,0.17,0.3,0.53,0.0,0.17,0.47,0.12,0.04,,60.48,0.01,8.97,0.54,0.19,1.81,1.33,,,5.22,2.08,1.88,
uJeufx6kQ3yHP7eN3,Gorilla Glue - LR,Concentrate,2015-12-08,2015-12-10,,,,0.0,0.0,,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.06,0.01,0.18,0.14,0.01,0.5,0.93,0.03,0.06,1.35,0.01,0.0,,67.4,,,0.19,0.07,,0.03,,,,1.67,0.47,
uQ635eWuaJq3ToZmR,Berry White x Flo Cured Cart,Concentrate,2017-09-21,2017-09-21,2,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.07,0.0,0.18,0.0,0.44,0.09,0.16,0.12,0.03,0.6,0.14,0.05,0.12,0.68,0.0,0.0,,3.24,0.01,53.52,0.01,0.01,0.01,0.01,,,1.79,0.32,0.01,
uQA8HTRRc96kxBoBZ,Gorilla Grape Gush - LR,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.06,0.46,0.0,0.29,0.95,0.19,0.04,0.85,0.0,0.0,,1.66,0.01,76.6,0.01,0.01,0.49,0.01,,,3.45,0.8,0.01,
uQWFrgcjP7EGWJdfH,Jack Herer -LRB,Concentrate,2017-08-04,2017-08-04,,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.76,0.04,0.28,0.14,0.1,0.76,0.27,0.28,0.1,0.37,0.06,0.0,,3.52,0.01,80.46,0.01,0.51,0.01,0.01,,,6.44,0.01,0.01,
uRXHcdPYHZA9FvoC4,Platinum Garlic-LR,Concentrate,2017-08-03,2017-08-03,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.21,0.09,0.0,0.1,0.02,1.44,0.48,0.0,0.06,0.96,0.0,0.0,,3.04,0.01,84.69,0.01,0.01,0.95,0.01,,,2.6,0.01,0.21,
uTY3urCXv3qt6dBhB,Lemon Cookies - LRB,Concentrate,2017-07-13,2017-07-13,,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.09,0.0,0.15,0.0,1.64,0.05,0.0,0.4,0.13,0.2,0.27,0.0,0.04,0.49,0.07,0.0,,2.07,0.01,74.01,0.01,0.43,0.01,0.01,,,7.38,0.2,0.01,
uXQAPvuTSH33tkzFf,Alpine OG -LR,Concentrate,2017-06-02,2017-06-02,,0.0,0.0,,,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.57,0.04,0.3,0.13,0.0,0.73,0.31,0.15,0.0,0.96,0.0,0.0,,2.18,0.01,81.1,0.01,0.01,0.01,0.01,,,0.75,0.01,3.02,
uYwfK3e9WE5XF73id,Mixed Shatter,Concentrate,2017-04-07,2017-04-11,12,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.04,0.07,0.21,0.0,0.24,0.38,0.0,0.0,0.43,0.0,0.0,,62.4,,,0.36,0.52,,2.21,,,,3.48,0.6,
uatMqtZsjJQiEcsLg,Cookies n' Cream,Concentrate,2017-02-14,2017-02-16,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.03,0.25,0.07,0.0,0.57,0.16,0.0,0.0,0.87,0.0,0.0,,50.7,,,0.18,0.26,,0.39,,,,3.02,0.66,
ucMP6ASMySJBSpwkd,I-95 Butter,Concentrate,2017-01-16,2017-01-18,35,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.04,0.07,0.04,0.0,0.25,0.07,0.0,0.0,0.21,0.0,0.0,,68.1,,,0.42,0.46,,0.43,,,,2.24,0.61,
uchuihqDErD8RZYNW,Space Cake 10 - LR,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.04,0.13,0.18,0.0,0.49,0.26,0.04,0.05,1.03,0.0,0.0,,1.21,0.01,76.5,0.01,0.01,0.01,0.01,,,5.71,0.58,0.13,
udbeB6knJx7qJoEZE,Sunset Sherbet,Concentrate,2018-03-13,2018-03-13,23,0.0,0.0,,,,0.0,0.08,0.0,0.0,0.0,0.14,0.0,0.18,0.0,0.07,0.09,0.29,0.16,0.05,0.48,0.99,0.07,0.13,0.83,0.04,0.0,,1.13,0.01,84.46,0.01,0.01,0.01,0.01,,,1.72,0.01,0.01,
ugGPKFATtWD5aQkds,Strawberry Lemonade - LR,Concentrate,2016-11-29,2016-12-01,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.44,0.03,0.18,0.09,0.02,0.47,0.95,0.23,0.05,0.73,0.0,0.0,,63.8,,,0.73,0.2,,0.43,,,,6.03,0.74,
ugQHehucXGXmKowFP,Grease Monkey -LR,Concentrate,2017-12-21,2017-12-21,,0.0,0.0,,,,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.09,0.1,0.41,0.23,0.0,0.95,1.25,0.09,0.12,1.11,0.05,0.0,,1.34,0.01,82.65,0.01,0.01,1.49,0.01,,,2.38,0.36,0.1,
uiQLDSJxrBZfhrfES,Tahoe OG x Goji- LR,Concentrate,2017-09-09,2017-09-09,,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.16,0.0,0.04,0.07,0.25,0.1,0.0,0.71,0.65,0.02,0.0,0.51,0.0,0.0,,1.07,0.01,83.57,0.01,0.01,1.0,0.01,,,1.93,0.35,0.01,
umwCR5YHAvoGuv2A8,Grape Ape,Concentrate,,,11,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,15.88,0.0,0.0,5.14,14.41,0.0,13.0,42.72,0.0,4.63,4.35,0.0,0.0,,,,,,,,,,,,,,
umy55J7LNZWyiwvmo,Zkittles,Concentrate,2018-04-12,2018-04-12,56,0.0,0.12,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.59,0.05,0.0,1.13,0.05,0.0,0.05,0.13,0.0,0.0,,72.2,0.01,0.01,1.39,1.95,0.01,10.6,,,0.01,2.94,1.78,
umy55J7LNZWyiwvmo,Zkittles,Concentrate,2018-04-12,2018-04-12,56,0.0,0.12,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.59,0.05,0.0,1.13,0.05,0.0,0.05,0.13,0.0,0.0,,72.2,0.01,0.01,1.39,1.95,0.01,10.6,,,0.01,2.94,1.78,
upcmYYHffbcmegnbM,Orange Cream,Concentrate,2016-11-15,2016-11-18,5,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.33,0.07,0.0,0.96,1.34,0.0,0.05,0.44,0.0,0.0,,63.1,,,0.48,0.65,,0.61,,,,6.41,0.57,
upqsrcHGnJmhhWYKQ,Blueberry Cannatonic-LR,Concentrate,2017-12-21,2017-12-21,,0.0,0.0,,,,0.0,0.1,0.0,0.0,0.0,0.16,0.0,0.29,0.0,0.09,0.12,0.28,0.51,0.0,0.57,2.3,0.11,0.24,0.78,0.06,0.06,,1.64,0.01,53.79,0.01,0.01,31.44,1.41,,,3.24,0.52,0.01,
uqAfAo3FSxPpokzre,Alex Mix,Concentrate,2016-01-28,2016-02-01,,,,0.0,0.0,,0.0,0.06,0.0,0.01,0.0,0.02,0.0,0.22,0.0,0.17,0.02,0.13,0.42,0.02,0.22,1.1,0.08,0.0,0.99,0.01,0.0,,56.7,,,0.24,0.09,,0.02,,,,1.92,0.03,
uqLAhAnhs6nkDBQiK,Super Lemon Skunk,Concentrate,2017-12-18,2017-12-18,,0.0,0.0,,,,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.89,0.0,0.2,0.19,0.1,0.43,1.08,0.56,0.16,1.04,0.07,0.03,,1.44,0.01,80.75,0.01,0.01,0.81,0.01,,,4.18,0.57,0.01,
uqMYTiYMKomRBsPJD,Tangie Ghost Train Live Resin,Concentrate,2016-09-29,2016-09-29,2,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.08,0.0,0.04,0.0,1.66,0.04,0.05,0.27,0.13,0.12,1.22,0.5,0.1,0.43,0.08,0.02,,62.7,,,0.43,0.35,,0.41,,,,4.97,0.57,
uqRmcyZbYvLc2AHRu,050718-01 Viper Cookies,Concentrate,2018-05-15,2018-05-15,,0.0,0.0,,,,0.04,0.05,0.0,0.0,0.18,0.0,0.0,0.44,0.0,0.2,0.09,0.23,0.08,0.05,0.39,0.21,0.0,0.05,0.38,0.04,0.0,,1.49,0.01,83.34,0.01,0.01,0.01,0.01,,,3.7,0.01,0.01,
ut495CebEXcq8ctRw,Peaches & Creme,Concentrate,2017-05-02,2017-05-03,29,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.1,0.0,0.0,0.05,0.0,0.75,0.0,0.08,0.08,0.0,0.16,0.15,0.0,0.0,80.8,2.8,,,0.0,0.0,0.11,0.1,,,3.77,0.53,0.0,
utpmSdFYRj3yE6EjL,Fruit Punch - LRB,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.13,0.03,0.09,0.05,0.0,0.29,0.15,0.02,0.0,0.48,0.0,0.0,,1.43,0.01,85.2,0.01,0.01,0.51,0.01,,,4.42,0.72,0.01,
utyeoPHYNxxWzynYv,Startonic,Concentrate,2016-04-01,2016-04-07,84,,,0.0,0.01,,0.0,0.02,0.0,0.0,0.0,0.29,0.0,0.33,0.0,0.0,0.18,0.31,0.25,0.0,0.85,1.0,0.0,0.08,0.2,0.0,0.08,,31.7,,,0.31,0.79,,3.51,,,,2.16,4.01,
uvwHyYLBCKWdKbtZY,True CO2 - Granddaddy Purple Hybrid CO2 Oil,Concentrate,2016-10-03,2016-10-04,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.17,0.39,0.01,0.0,0.9,0.03,0.0,0.01,0.05,0.0,0.0,,76.8,,,0.57,1.56,,0.7,,,,2.26,1.41,
uvxmKTvqkCY5f5x5E,Super Lemon Haze - LRB,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.54,0.03,0.12,0.03,0.03,0.3,0.15,0.1,0.0,0.35,0.01,0.0,,2.12,0.01,75.12,0.01,0.01,0.51,0.01,,,11.92,0.8,0.01,
uzaPqZfgJcyprk2er,Garlic Cookies- LRB,Concentrate,2017-08-09,2017-08-09,,0.0,0.0,,,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.14,0.06,0.0,0.08,0.02,0.98,0.27,0.0,0.03,0.64,0.0,0.0,,1.61,0.01,79.74,0.01,0.01,0.01,0.01,,,1.31,0.01,0.01,
v35bP2DaWJwRGXQbP,Goji - LRB,Concentrate,2017-08-02,2017-08-02,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.1,0.0,0.53,0.0,0.05,0.07,0.15,0.13,0.01,0.41,0.12,0.05,0.07,0.71,0.0,0.0,,1.6,0.01,86.85,0.01,0.01,1.09,0.01,,,3.97,0.01,0.01,
v5J9b6ud9qDH4KK5z,Jedi - LR,Concentrate,2016-09-28,2016-09-29,,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.28,0.0,0.03,0.08,0.25,0.16,0.0,0.61,0.2,0.01,0.09,1.27,0.0,0.0,,65.8,,,0.34,0.39,,0.43,,,,3.16,0.65,
v5jDgpdMMtMX2sw5A,72 Cabernet Cured Resin,Concentrate,2017-11-09,2017-11-09,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.05,0.05,0.0,0.5,0.0,0.15,0.39,0.02,0.1,0.3,0.0,0.0,,6.52,0.01,77.65,0.01,0.01,0.59,0.01,,,1.09,0.38,0.16,
v68XiRybhfovQMpx7,SFV O.G. - LR,Concentrate,2016-10-11,2016-10-13,,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.05,0.05,0.45,0.12,0.0,0.89,1.21,0.03,0.07,1.13,0.0,0.0,,64.6,,,0.39,0.0,,0.67,,,,3.24,0.54,
v9f62Yptvt6ww8Myg,Sour Banana Sherbert-LR,Concentrate,2018-01-04,2018-01-04,,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.06,0.0,0.12,0.39,0.0,0.24,1.06,0.14,0.06,0.26,0.0,0.0,,1.41,0.0,87.16,0.0,0.0,0.94,0.0,,,1.81,0.41,0.0,
vANyJaP6Cdy9XvqCA,Blaze-B-Vac/unfrozen,Concentrate,2018-03-02,2018-03-02,,0.0,0.0,,,,0.0,0.05,0.0,0.04,0.0,0.1,0.0,0.22,0.0,0.06,0.06,0.16,0.18,0.05,0.18,0.47,0.0,0.0,0.25,0.04,0.0,,2.86,0.01,83.82,0.01,0.01,0.9,0.01,,,3.81,1.18,0.01,
vAXkeGpCMsCFPbf3A,4,Concentrate,2017-10-26,2017-10-26,27,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.03,0.05,0.19,0.05,0.0,0.54,1.34,0.02,0.0,0.18,0.0,0.0,,1.55,0.01,77.37,0.01,0.01,0.01,0.01,,,0.12,0.55,0.01,
