Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
,Red Lebanese (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.009,0.006,0.0,0.005,0.004,0.0,0.075,0.244,0.0,0.013,0.098,0.472,0.0,0.253,2.366,,0.136,0.244,0.0,0.0,,2.06,0.0,17.09,0.01,0.0,0.05,0.0,0.0,0.0,0.64,0.15,0.05,
,Laura Winslow A (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.007,0.01,0.0,0.008,0.006,0.0,0.07,0.297,0.0,0.082,0.103,0.528,0.0,0.337,2.698,,0.144,0.148,0.0,0.0,,1.48,0.0,19.46,0.02,0.0,0.06,0.0,0.0,0.0,0.73,0.09,0.03,
,Nu Ken (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.008,0.008,0.0,0.005,0.0,0.0,0.132,0.952,0.004,0.044,0.081,0.096,0.0,0.285,0.045,,0.081,0.371,0.0,0.0,,1.69,0.0,18.51,0.02,0.0,0.05,0.0,0.0,0.0,1.45,0.18,0.0,
,Laura Winslow B (SG ind),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.006,0.008,0.0,0.005,0.0,0.0,0.032,0.137,0.0,0.031,0.098,0.449,0.0,0.326,1.533,,0.112,0.07,0.0,0.0,,1.06,0.0,18.95,0.01,0.0,0.05,0.0,0.0,0.0,0.29,0.11,0.02,
,Sour Diesel,"Flower, Inhalable",2016-11-11,,438,,,,,,0.0,0.007,0.012,0.0,0.002,0.003,0.0,0.034,0.0,0.003,0.103,0.285,0.028,0.0,0.689,0.335,,0.053,0.338,0.0,0.0,,0.64,0.02,19.77,0.02,0.0,0.07,0.0,0.0,0.0,0.33,0.07,0.07,
,Big Sur Holy Weed,"Flower, Inhalable",2016-11-11,,439,,,,,,0.0,0.016,0.011,0.0,0.006,0.0,0.0,0.078,0.67,0.008,0.034,0.085,0.472,0.0,0.25,0.56,,0.236,0.586,0.0,0.0,,1.66,0.01,19.04,0.01,0.0,0.07,0.0,0.0,0.0,0.28,0.12,0.02,
,Mendo Purps #1,"Flower, Inhalable",2016-11-14,,316,,,,,,0.0,0.009,0.006,0.0,0.002,0.022,0.0,0.072,0.024,0.007,0.054,0.178,0.238,0.0,0.401,0.441,,0.126,0.298,0.0,0.0,,,,,,,,,,,,,,
,Double Tangie #1,"Flower, Inhalable",2016-11-14,,316,,,,,,0.023,0.005,0.007,0.0,0.0,0.176,0.0,0.021,0.012,0.831,0.041,0.075,0.358,0.021,0.251,1.415,,0.215,0.155,0.012,0.0,,,,,,,,,,,,,,
,Purple Pineapple,"Flower, Inhalable",2016-11-14,,440,,,,,,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.081,0.011,0.0,0.026,0.051,0.091,0.0,0.194,0.026,,0.066,0.304,0.0,0.0,,0.82,0.0,17.73,0.02,0.0,0.05,0.0,0.0,0.0,0.51,0.08,0.0,
,Green Crack Flower Rosin,"Concentrate, Inhalable",2016-11-15,,441,,,,,,0.0,0.013,0.072,0.0,0.013,0.189,0.0,0.175,0.13,0.006,0.722,0.272,0.317,0.0,0.664,0.478,,0.146,0.182,0.0,0.0,,37.09,0.0,30.88,0.31,0.19,0.22,0.0,0.0,0.0,3.03,1.07,0.79,
,Blue Magoo Flower Rosin,"Concentrate, Inhalable",2016-11-15,,441,,,,,,0.0,0.016,0.026,0.0,0.0,0.0,0.0,0.21,0.184,0.01,0.315,0.208,0.319,0.0,0.616,1.247,,0.104,0.145,0.0,0.0,,22.73,0.0,42.51,0.13,0.13,0.19,0.0,0.0,0.0,2.58,0.81,0.7,
,Blue Cheese,"Flower, Inhalable",2016-11-15,,441,,,,,,0.0,0.004,0.003,0.0,0.0,0.0,0.0,0.021,0.032,0.0,0.018,0.019,0.067,0.0,0.065,0.568,,0.045,0.075,0.0,0.0,,0.33,0.02,17.65,0.01,0.0,0.04,0.0,0.01,0.0,0.31,0.06,0.0,
,Green Crack,"Flower, Inhalable",2016-11-15,,441,,,,,,0.0,0.006,0.007,0.0,0.0,0.008,0.0,0.039,0.24,0.004,0.075,0.074,0.106,0.0,0.186,0.588,,0.059,0.145,0.0,0.0,,0.83,0.03,21.23,0.02,0.0,0.06,0.0,0.0,0.0,1.73,0.11,0.0,
,The White,"Flower, Inhalable",2016-11-15,,441,,,,,,0.0,0.006,0.006,0.0,0.0,0.002,0.0,0.027,0.0,0.005,0.044,0.073,0.025,0.0,0.24,0.414,,0.047,0.186,0.0,0.0,,0.61,0.03,19.6,0.01,0.0,0.07,0.0,0.0,0.0,0.52,0.05,0.0,
